service_access,service_cash,service_park,fare_zone,stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
1,0,1,2,90004,Gray 30th Street,,39.9566667,-75.1816667,CC,
0,0,1,2,90005,Suburban Station,,39.9538889,-75.1677778,CC,
0,0,1,2,90006,Jefferson Station,,39.9525,-75.1580556,CC,
1,0,1,2,90007,Temple University,,39.9813889,-75.1494444,CC,
0,0,1,2,90801,Chestnut Hill West,,40.0763889,-75.2083333,2S,
0,0,1,2,90802,Highland,,40.0705556,-75.2111111,2S,
0,0,1,1,90803,St. Martins,,40.0658333,-75.2044444,2S,
0,0,1,1,90804,Richard Allen Lane,,40.0575,-75.1947222,2S,
1,0,1,1,90805,Carpenter,,40.0511111,-75.1913889,2S,
0,0,0,1,90806,Upsal,,40.0425,-75.19,2S,
1,1,0,C,90807,Tulpehocken,,40.0352778,-75.1869444,2S,
1,1,0,C,90808,Chelten Avenue,,40.03,-75.1808333,1S,
1,1,0,C,90809,Queen Lane,,40.0233333,-75.1780556,1S,
1,0,0,C,90810,North Philadelphia,,39.9977778,-75.1563889,1S,
