stop_name,8210,8242,8318,8322,8338,8716,8750,8756
Chestnut Hill West,06:51:00,14:49:00,08:49:00,09:49:00,13:52:00,08:08:00,16:48:00,18:20:00
Highland,06:52:00,14:50:00,08:50:00,09:50:00,13:53:00,08:09:00,16:49:00,18:21:00
St. Martins,06:54:00,14:52:00,08:52:00,09:52:00,13:55:00,08:11:00,16:51:00,18:23:00
Richard Allen Lane,06:56:00,14:54:00,08:54:00,09:54:00,13:57:00,08:13:00,16:53:00,18:25:00
Carpenter,06:58:00,14:56:00,08:56:00,09:56:00,13:59:00,08:15:00,16:55:00,18:27:00
Upsal,07:00:00,14:58:00,08:58:00,09:58:00,14:01:00,08:17:00,16:57:00,18:29:00
Tulpehocken,07:02:00,15:00:00,09:00:00,10:00:00,14:03:00,08:19:00,16:59:00,18:31:00
Chelten Avenue,07:04:00,15:02:00,09:02:00,10:02:00,14:05:00,08:21:00,17:01:00,18:33:00
Queen Lane,07:06:00,15:04:00,09:04:00,10:04:00,14:07:00,08:23:00,17:03:00,18:35:00
North Philadelphia,07:12:00,15:12:00,09:12:00,10:12:00,14:15:00,08:29:00,17:09:00,18:41:00
Gray 30th Street,07:23:00,15:23:00,09:23:00,10:23:00,14:26:00,08:42:00,17:20:00,18:54:00
Suburban Station,07:28:00,15:28:00,09:28:00,10:28:00,14:31:00,08:47:00,17:25:00,18:59:00
Jefferson Station,07:33:00,15:33:00,09:33:00,10:33:00,14:36:00,08:52:00,17:30:00,19:04:00
Temple University,07:37:00,15:37:00,09:37:00,10:37:00,14:40:00,08:57:00,17:35:00,19:08:00
