Zone,CO2 Intensity,Hydro,Nuclear,Wind,Solar,Geothermal,Biomass,Gas,Coal,Oil,Unknown,Hydro Discharge,Battery Discharge
Sweden,26,0.390818674,0.267995785,0.277117048,8.97E-04,1.32E-07,0.004304782,0.003940397,0.0079485,4.37E-04,0.04581499,7.20E-04,0
Iceland,28,0.693530819,0,0,0,0.306467952,0,0,0,0,0,0,0
Quebec,35,0.901022937,0.021271038,0.044129375,4.68E-05,0,0.019240104,0.014019651,1.17E-05,0,2.59E-04,0,0
France,46,0.123129959,0.653554032,0.102810997,0.018023056,4.50E-07,0.010240314,0.071387723,0.003078365,0.002967272,6.70E-04,0.014136218,3.07E-07
Ontario,104,0.233440249,0.494384504,0.087436495,9.86E-04,0,0.002085189,0.18134321,3.18E-04,2.31E-06,4.32E-06,0,0
New Zealand,106,0.604725283,0,0.076935512,0.001117342,0.190160647,0,0.067562401,0.037361317,2.99E-05,0.022144476,0,1.74E-06
Finland,107,0.202293182,0.365403424,0.241032633,6.72E-04,0,0.062416411,0.029562729,0.080737184,9.16E-05,0.017703885,7.96E-05,0
South Australia,132,0.007372024,0,0.426064211,0.336593501,0,0,0.132898189,0.089591292,9.30E-05,0,0,0.007362567
Spain,132,0.170796341,0.241825761,0.250778577,0.080091822,0,0.019791308,0.187737637,0.013417446,0.002433847,0.003017017,0.030113508,0
Belgium,147,0.013123124,0.396236496,0.252157896,0.036418326,0,0.027607968,0.194242732,0.017250524,0.001283028,0.049339674,0.012328529,0
Tasmania,162,0.489641089,0,0.225917699,0.108255238,0,0,0.015256105,0.160669147,0,0,0,2.31E-04
East Denmark,184,0.063698098,0.054950031,0.483800036,0.012893694,0,0.167831249,0.076692132,0.10848342,0.014132102,0.013769689,0.003751529,0
West Denmark,188,0.088429649,0.022347493,0.562852094,0.015538678,1.10E-05,0.076162079,0.085345891,0.129898636,0.009032631,0.004150963,0.00621669,0
Great Britain,214,0.037861545,0.123856492,0.359243627,0.02653428,0,0.061969776,0.350590241,0.020114182,3.98E-04,0.009878051,0.00955278,0
Netherlands,217.5,0.011263182,0.038812304,0.467015222,0.107655222,1.23E-05,0.045570161,0.223653145,0.086017568,0.007518997,0.010796184,0.001685189,0
New York ISO,275,0.237280173,0.228380162,0.04860503,5.79E-05,0,5.10E-04,0.46920671,1.86E-05,5.19E-07,0.015938015,0,0
Italy (North),307,0.226705976,0.145309417,0.039362645,0.028581399,0.002393065,0.030806141,0.384486864,0.015017013,0.001585722,0.092858317,0.03289064,0
California,328,0.08361789,0.12653836,0.078910268,0.120042617,0.029849445,0.01775439,0.484842045,0.0208627,7.45E-06,0.011707737,2.26E-06,0.025865917
Germany,389,0.044481677,0.02803772,0.396610527,0.033101,3.27E-04,0.086907441,0.144446826,0.232621597,0.006468468,0.006241341,0.020758393,0
Ireland,389,0.037099443,0.008292096,0.384634218,0.001627489,0,0.025137003,0.42411313,0.097189192,0.020091628,0.00114607,6.45E-04,0
Western Australia,417,0,0,0.141190391,0.338346495,0,0.002804362,0.241599136,0.270862989,0.002637428,0,0,0.002543833
Texas,432,3.90E-04,0.090662672,0.222983563,0.059795553,0,0,0.460969563,0.16147719,4.44E-06,0.003715978,0,0
Alberta,447,0.019045305,4.86E-07,0.124037913,0.011003408,0,0.025197044,0.70695847,0.07246316,4.58E-05,0.041247643,0,0
Victoria,508.5,0.039099723,0,0.174814536,0.190329301,0,1.97E-05,0.002959954,0.591108221,1.01E-06,0,0,0.001671602
New South Wales,578,0.03162789,0,0.094769465,0.237253975,0,0.002194378,0.006786334,0.626167067,5.15E-05,0,0,0.001143862
Queensland,662,0.018746502,0,0.038068858,0.211015088,0,7.08E-05,0.072281714,0.656780364,0.00207077,0,0,9.65E-04
South Africa,685,0.022396591,0.042806288,0.057982631,0.037868876,0,0,4.17E-06,0.798601405,0.019537335,8.74E-04,0.019928137,0
India (North),693,0.093046281,0.022218759,5.51E-04,0.105534452,0,0,0.018197064,0.751668432,0,0.008784493,0,0
