Rank,Name,Sport,Total Earnings,On-the-Field Earnings,Off-the-Field Earnings
1,Cristiano Ronaldo,Soccer,136000000,46000000,90000000
2,Lionel Messi,Soccer,130000000,65000000,65000000
3,Kylian Mbappé,Soccer,120000000,100000000,20000000
4,LeBron James,Basketball,119500000,44500000,75000000
5,Canelo Alvarez,Boxing,110000000,100000000,10000000
6,Dustin Johnson,Golf,107000000,102000000,5000000
7,Phil Mickelson,Golf,106000000,104000000,2000000
8,Stephen Curry,Basketball,100400000,48400000,52000000
9,Roger Federer,Tennis,95100000,100000,95000000
10,Kevin Durant,Basketball,89100000,44100000,45000000
11,Giannis Antetokounmpo,Basketball,87600000,42600000,45000000
12,Neymar,Soccer,85000000,50000000,35000000
12,Russell Wilson,Football,85000000,72000000,13000000
14,Russell Westbrook,Basketball,82100000,47100000,35000000
15,Rory McIlroy,Golf,80800000,40800000,40000000
16,Tiger Woods,Golf,75100000,15100000,60000000
17,Cameron Smith,Golf,73000000,67000000,6000000
18,Brooks Koepka,Golf,72000000,66000000,6000000
19,Kyler Murray,Football,70500000,67000000,3500000
20,Bryson DeChambeau,Golf,69000000,68000000,1000000
21,Lewis Hamilton,Auto Racing,65000000,55000000,10000000
22,Max Verstappen,Auto Racing,64000000,60000000,4000000
23,Klay Thompson,Basketball,60900000,40900000,20000000
24,Patrick Mahomes,Football,59300000,39300000,20000000
25,Damian Lillard,Basketball,58600000,42600000,16000000
26,Max Scherzer,Baseball,56700000,55700000,1000000
27,James Harden,Basketball,55100000,33100000,22000000
28,Anthony Joshua,Boxing,53000000,50000000,3000000
28,Jon Rahm,Golf,53000000,28000000,25000000
28,Aaron Rodgers,Football,53000000,42000000,11000000
28,Mohamed Salah,Soccer,53000000,35000000,18000000
32,Erling Haaland,Soccer,52000000,40000000,12000000
32,Patrick Reed,Golf,52000000,49000000,3000000
34,Paul George,Basketball,51500000,42500000,9000000
35,Kawhi Leonard,Basketball,50500000,42500000,8000000
36,Bradley Beal,Basketball,49800000,43300000,6500000
37,Derek Carr,Football,48900000,45900000,3000000
38,"Orlando Brown, Jr.",Football,48600000,48500000,100000
39,Aaron Donald,Football,48500000,46500000,2000000
40,Anthony Davis,Basketball,48000000,38000000,10000000
41,Jimmy Butler,Basketball,47800000,37800000,10000000
41,John Wall,Basketball,47800000,47300000,500000
43,Jordan Spieth,Golf,47500000,17500000,30000000
44,Luka Doncic,Basketball,47200000,37200000,10000000
45,Scottie Scheffler,Golf,47100000,32100000,15000000
46,Sergio Garcia,Golf,46000000,43000000,3000000
46,Dak Prescott,Football,46000000,31000000,15000000
48,Deshaun Watson,Football,45800000,45300000,500000
49,Serena Williams,Tennis,45300000,300000,45000000
50,Tom Brady,Football,45200000,1200000,44000000
